// object has instance vars and isn't a class, get a snapshot to be marshalled // and output the ivar header here
// line 1480
// make all sockets blocking as configured again // close unregisters all channels, so we can safely reset blocking modes
// normal all-rest method
// line 1210
// TODO: make more efficient by not creating IRubyArray[]
// TODO: Ruby unlocks the string here
// We don't append '+' since Java number parser gets confused
// We could not find all of them print out first one (we could print them all?)
// EQ == 0 (i.e. false) // pop the extra result and replace with the send part of the AND
// line 1814
// confirm maximum not greater than optional
// RubyIPSocket
// Not sure how well this works, but it works much better than // just currentTimeMillis by itself.
// line 1320
// TODO: wire into new exception handling mechanism
// rubyObject is already of the required jruby class (or subclass)
// we set all Java methods to optional, since many/most have overloads
// line 1434
// line 407
// Count of nested parentheses (1.9 only)
// A scoped location of this variable (high 16 bits is how many scopes down and low 16 bits // is what index in the right scope to set the value.
// line 543
// first char must be digit or decimal point
// with block literal (iter)
//consume the file name
// any exceptions raised must continue to be raised, skipping $! restoration
// if we expect a return value, unwrap it
// FIXME: This is probably not very efficient, since it loads all methods for each call
// Does this instruction have side effects as a result of its operation // This information is used in optimization phases to impact dead code elimination // and other optimization passes
// ////////////////// COMMON CONSTANT / CVAR METHODS //////////////// //
// TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here, since we don't intend for people to monkey with // this type and it can't be marshalled. Confirm. JRUBY-415
// just save a count of zeroes for now; if no digit // ends up following them, they'll be applied to the // exponent rather than the significand (and our max // length for optimistic calc).
// line 1207
// This is almost always already interned, since it will be called with a symbol in most cases // but when created from Java code, we might get an argument that needs to be interned. // addAccessor has as a precondition that the string MUST be interned
// rb_reg_raise
// // Avoid double-copying for reads that are larger than the buffer size, or // the destination is a direct buffer. //
// quietly try to load the class
// Line where current executing unit is being evaluated
// no-arg constructor using static references to Ruby and RubyClass
// If we have more than one arg, make sure the array created to contain them is not ObjectSpaced
// add $RUBYLIB paths
// Accessor methods.
// See [ruby-core:17483]
// Default objects
// FIXME: This is temporary since the variable compilers assume we want // args already on stack for assignment. We just pop and continue with // 1.9 args logic.
"/**     * Process streams get Channel.newChannel()ed into FileChannel but are not actually     * seekable. So instead of just the isSeekable check doing instanceof FileChannel,     * we must also add this boolean to check, which we set to false when it's known     * that the incoming channel is from a process.     *      * FIXME: This is gross, and it's NIO's fault for not providing a nice way to     * tell if a channel is ""really"" seekable.     */"
// default for starting tempVariableIndex is ok
// Stores
// line 159 "-" // %token constants
// // rb_str_buf_append
// The name of the variable
// all these types are immediately considered "defined"
// What linenumber will the source think it starts from?
// clear runtime so it doesn't get stuck in memory (JRUBY-2933)
// line 1075
// For closures, a redo is a jump to the beginning of the closure // For non-closures, a redo is a jump to the beginning of the loop
// This is needed when the enclosing class or module is a singleton. // In that case, we generated a name such as null::Foo, which broke  // Marshalling, among others. The correct thing to do in this situation  // is to insert the generate the name of form #<Class:01xasdfasd> if  // it's a singleton module/class, which this code accomplishes.
// generate method cache initialization code
// line 757
// ignore // switch
// we can't rename a file while it's open in windows
// TODO: make it 16 now ? // MUST be power of 2!
// Don't bother
// this is a rather ugly hack, but similar to MRI. See hash.c:ruby_setenv and similar in MRI // we search all keys for a case-insensitive match, and use that
// range_each_func(range, step_i, b, e, args);
// line 836
//                case FLOAT:
// A thread pool to use for executing this runtime's Ruby threads
// TODO: READ_CHECK from MRI
// build a list of all modules to consider for inclusion
// ------ Define the operations below ----
// line 429
// FIXME: inefficient; constructing a bignum just for dumping?
// ignore; we won't use invokedynamic
// dangling '%' char
// TODO: add trace call?
"/*  ================     *  Instance Methods     *  ================      */"
// restore position
// TODO: why are we duplicating the constants here, and then in // File::Constants below? File::Constants is included in IO.
// Dir::tmpdir
/* EvStrNode :"#{some expression}"*/
// line 604
// if root of method is rescue, build as a light rescue
// put implementation
// line 1477
// statically initialized below
// 0.0 is ok // float range // inverted float range? // NaN // +infinity // -infinity
// FIXME we should probably still be dyncalling 'write' here
//yyparse(lexer, new jay.yydebug.yyAnim("JRuby", 9));
// Make sure any existing lock is released before we try and close the file
// add a few type-specific special methods
// line 779
// cryptic for the uninitiated...
// We're doing normal framed compilation or the method needs a frame
// basically just forcing a TypeError here to match MRI
// End of string (], ), }, >, ', ", \0)
// JRUBY-2380, associate future early so it shows up in Thread.list right away, in case it doesn't run immediately
// This method handles '**/' patterns and delegates to // fnmatch_helper for the main work.
// CRuby uses sprintf(buf, "%.*g", FLOAT_DIG, d); // This pattern adjusts the output of String.pattern("%g") to mimic // the C version.
// line 1785
// last index (+1) accessed by next() // last index (+1) accessed by get()
// line 613
// JRUBY-852, ignore escape key (it causes IRB to quit if we pass it out through readline)
//yyRindex 889
// add setPosition impl, which stores filename as constant to speed updates
// no UNIXSockets on Windows
// line 467
// line 852
// Require in all libraries specified on command line
// line 879
// if not overloaded, we add a method that guesses at which signature to use // TODO: just adding first one right now...add in signature-guessing logic
/* ignore backslashed spaces in %w */
// scripts
// line 1502
// line 556
// do nothing, fall back on default compiler below
// strip off "_dot_rb" for .rb files
// CLASS BODY
// ?S  | boolean | True if file1 exists and is a socket
// EUC-JP
// load args[0] which will be the IRubyObject representing block args
// Should we run this pass on the current scope before running it on nested scopes?
// Is there a supplied proc argument or do we assume a block was supplied
// line 1629
// from encoding, special-casing ASCII* to ASCII
// compile into array
// TODO: put these nil guards into tree (bigger than I want to do right now)
// extra args for rest
// store argument count information into scope
// modified only by addMethod; no synchronization required
// if a source extension is specified, try all source extensions
/* Consider Thread aspects of this */
// methods 'foo!' and 'foo?' are possible but if followed by '=' it is relop
// otherwise, try to load from classpath (Note: Jar resources always uses '/')
// JRubyClient
"/*         * If there is exactly _one_ callback argument to the function,         * then a block can be given and automatically subsituted for the callback         * parameter.         */"
// including interface module so old-style interface "subclasses" will // respond correctly to #kind_of?, etc.
// Add 1.8 libs
// line 448
// c: bind_eval
// Haven't found a class, continue on as though it were a package
// line 1755
// wait until thread has initialized
// line 1960
// ensure the object is associated with the wrapper we found it in, // so that if it comes back we don't re-wrap it
// Always use "GMT" since that's required by Java API.
// line 1279
// line 753
// TODO: why this: .setResult();
// Where we get new positions from.
// check args first, since body inspection can depend on args
// Short-hand (e.g. %{,%.,%!,... versus %Q{).
// We encountered '\0' when // were reading the buffer above, // increment the number of read bytes.
// TODO: This version differs from ioctl by checking whether fcntl exists // and raising notimplemented if it doesn't; perhaps no difference for us?
// ?-  | boolean | True if file1 and file2 are identical
// if there's no receiver, evaluate and pass in the superclass, or // pass self if it no superclass
// We promote our box to being its own box since we're changing // visibilities, and need it to be reflected on this method object // independent of any other sharing the box.
// rb_copy_generic_ivar from DUP_SETUP here ...unlikely..
// promise to implement two to three with block
// Set a value in the RubyHash
/* not primitive or lc class */
// MRI behavior: always check whether the file is writable // or not, even if we are to write 0 bytes.
// default: don't retain
// line 1366
// modified
// methods with required = 4 or higher should bind and be callable using reflection // JRUBY-3649
// exception handling for monitor release
// digits arr shifted, update all
// Check the entry.setValue values come back out ok
// in order to make pragma's noops we set location to a special value
// decode from "from" and encode to "to"
// line 643
// possibly should not in object space
// You can only value-replace atomic values
// line 1872
// get runtime, create jump error, and throw it
// RaiseException is on stack, get RubyException out
// boot the Module and Class classes
/* ----------- Public methods with a default implementation ---------- */
// TODO this is really ineffient, and potentially a problem everytime anyone require's something. // we should try to make LoadPath a special array object.
// MRI behavior: Week values are monotonous. // So, weeks that effectively belong to previous year, // will get the value of 0, not 52 or 53, as in Java.
// TODO: validate port as numeric
// line 1635
// Reduces overhead in interp by not set position every single line we encounter.
// receiver, args, result, value
// never visited, should be ok
// line 1317
// we don't deal with negatives.
// there should only be one more thread in thread group than before we started
// newline
/* white spaces */
// line 1383
"/* Compute Meet Over All Paths solution for this dataflow problem on the input CFG.     * This implements a standard worklist algorithm. */"
// line 1948
// Next immediate scope.  Variable and constant scoping rules make use of this variable // in different ways.
// elements and trailing nils
// redundant, done above as well
// decimal form, like (but not *just* like!) 'f'
/* Directories and unavailable resources are not able to open a stream. */
// The method doesn't need a scope, but has static scope needs; use a dummy scope
// line 623
// block given
// line 589
// RubyBasicSocket
// then optional args
// ?p  | boolean | True if file1 exists and is a fifo
// line 1311
// line 1473
// store previous exception for restoration if we rescue something
// int, native
// FIXME moved this here to get what's obviously a utility method out of IRubyObject. // perhaps security methods should find their own centralized home at some point.
// truncate buffer string to zero, if provided
// index for the item // this could probably be more efficient, bailing out on assigning args past the end?
// line 1097
// Now for the rest
// For Sockets, only write as much as will fit.
// // Determine if the parameter might be passed as a 32bit int parameter. // This just applies to buffer/pointer types. //
// line 1105
/* \M-X, \M-\C-X, \M-\cX */
// TODO: number formatting here, MRI uses "%-.10g", 1.4 API is a must?
// compile first node as non-expr and compile second node
// line 512
// if it's less than 200 do median of 3
// add to the corresponding positive power of 32 for the result. // meaningful? no. conformant? yes. I just write the code...
/* class methods for IO */
// this is the order in which MRI does these tests
// line 449
// set constants now that they're initialized
// sizes must match
// do nothing, allow loop to redo
// line 1133
// one arg, no block; load NULL_BLOCK
// keep value of twoAgo around so we can restore after we unread
// TODO: this code should really check if a Ruby equals method is implemented or not.
// otherwise, rethrow
// ?k  | boolean | True if file1 exists and has the sticky bit set
// The value of 1 is for Socket::AI_PASSIVE.
// confirm we're not reopening self's channel
// with block pass
// if v1 is defined and true, we are done!
// we're depending on the side effect of the load, which loads the class but does not turn it into a script // I don't like it, but until we restructure the code a bit more, we'll need to quietly let it by here.
// Handle Ruby exceptions (RaiseException)
// line 1302
// IO class methods.
// end constructor
// This should never happen past parse, but just bulletproof this just in case
// line 1626
// The following constants capture pre-known static call sites -- used to implement ruby internals
// line 1231
// Satisfy java.util.List interface (for Java integration)
// MRI behavior: in finished mode, we work as pass-through
// flush first
// no binding given, use 0 for both
// line 1282
// If this is not a closure, the break is equivalent to jumping to the loop end label
// sign
// line 1992
// we have an input case, prepare branching logic
// line 983
// Parent container for this context (can be dynamic!!) // If dynamic, at runtime, this will be the meta-object corresponding to a class/script/module/method/closure // List of IR instructions for this method
// coerce arguments
// just push the same empty scope, since we won't use one
// Block
// end of scoping for closure's vars
// otherwise fall back on the old way
// TODO: This probably isn't the best hack, but it works until we can have different // root frame setup for 1.9 easily.
// horizontal tab
// just confirm args length == required
// Number of newlines read from the reader
// Save sourceLine for error reporting to display line where error occurred
// load block from [] version of method
// adjusts paths started with '/' or '\\', on windows.
// FIXME: process options
// SSS FIXME: Is this correct?
// line 1118
// // Hook up the MemoryPointer class if its not already there //
// FIXME: We should be getting this from the runtime rather than assume none? //return runtime.getEncodingService().getEncoding(runtime.getDefaultExternalEncoding());
// if name starts with a / we're done (classloader resources won't load with an initial /)
// select appropriate call site // dup receiver // load self
// promise to implement two to N
// init errorInfo to nil
// line 417
// line 271
// line 1641
// file not given
// line 1329
// these extra arrays are really unfortunate; split some of these paths out to eliminate?
// if there's a non-null superclass, we're including into a normal class hierarchy; // update subclass relationships to avoid stale parent/child relationships
// line 1591
// // Set up for potentially fast-int operations //
// obtain c
// line 1600
// set to default thread group
// These call* assume ThreadContext = receiver.getRuntime().getCurrentContext()
// line 479
// no opt, no rest, exact match
// that's what JDK5 produces on Windows Vista
// method object already present, push various args // tc // self // klazz // name
// line 1258
// out of byte range // there will be no match for sure
// if it's method_missing, just invoke it
// line 1041
// TODO? I think this ends up propagating from normal Java exceptions // sys_fail(openFile.getPath())
/* -------------- Public fields and methods below ---------------- */
// TODO: protected methods.  this is going to require a rework of some of the mechanism.
//        arity.checkArity(runtime, argsLength);
// Hacky: Advance position to eat newline here....
// modified to match how hash is calculated in 1.8.2
/* Individual analyses should override this */
// rethrow exception // rethrow it
/*XXX 0;*/
// rb_iterate((VALUE(*)_((VALUE)))str_step, (VALUE)args, step_i, (VALUE)iter);
// BASE64
// single string command, pass to sh to expand wildcards
// aggregate when nodes into a list, unfortunately, this is no
// TODO: check the return value here
// line 1190
// SSS FIXME: Correct?  Where does closure arg come from?
// line 1430
// line 1359
// line 1261
// Unfortunately, the number of digits in the exponent is // not clearly defined in Ruby documentation. This is a // platform/version-dependent behavior. On Linux/Mac/Cygwin/*nix, // two digits are used. On Windows, 3 digits are used. // It is desirable for JRuby to have consistent behavior, and // the two digits behavior was selected. This is also in sync // with "Java-native" sprintf behavior (java.util.Formatter). // E or e
// line 1204
// line 1348
// SSS FIXME: To be done
// // When reading into a heap buffer, the jvm allocates a temporary // direct ByteBuffer of the requested size.  To avoid allocating // a huge direct buffer when doing ludicrous reads (e.g. 1G or more) // we split the read up into chunks of no more than 1M //
// Now we add an "implement" and "implement_all" methods to the class
// ?l  | boolean | True if file1 exists and is a symbolic link
/* -------------- Protected fields and methods below ---------------- */
// FIXME: set up a call configuration for this
// TODO: the rest of this...seeking to same position is unnecessary since we share a channel // but some of this may be needed?
"/*         * Initialize some components.         */"
// not an expression, only compile the elements
// line 1476
/* $?: last status */
// "else" body
//[RubyClass] //[RubyClass, RubyClass] //[RubyClass] //[] //[self] //[RubyClass] //[RubyClass, RubyClass]
// backslash
// removes and returns the stored value without processing undefs (autoloads)
// promise to implement three
//TODO: Should next and return also catch here?
// nil pad since we provided less values than block parms
// foo()
// TODO: Add safety check for taintedness
// if there's no constructor, we must prevent construction
// initialize the static settings to determine which factory to use
// extras flag
// In certain places, like grep, we don't use real frames for the // call blocks. This has the effect of not setting the backref in // the correct frame - this delta is activated to the place where // the grep is running in so that the backref will be set in an // appropriate place.
// TODO: keep cr // TODO: rb_str_splice_0
// $blah
// Define System.getProperties() in ENV_JAVA
// SSS FIXME: Cannot optimize this without assuming that Range.to_ary method has not redefined. // So for now, return null!
// FIXME: ConstDecl could be two seperate classes (or done differently since constNode and name // never exist at the same time.
// snip off ruby or jruby command from list of arguments // leave alone if the command is the name of a script
// newInstance here
// Proc implementing an interface, pull in the catch-all code that lets the proc get invoked // no matter what method is called on the interface
// If it's a single-arg when but contains an array, we know it's a real literal array // FIXME: This is a gross way to figure it out; parser help similar to yield argument passing (expandArguments) would be better
// line 941
// ignore, no debugger present
// note: intentionally returning the actual array returned from Java, rather // than wrapping it in a RubyArray. wave of the future, when java_class will // return the actual class, rather than a JavaClass wrapper.
// Specify something that can't separate
// line 555
// line 1488
// start setup method
// adapter, tc, recv, args{0,1}, block{0,1}]
// line 1283
// Record the loop we are beginning to process
// line 1342
// leftToken made us start as nest 1
// generate constants initialization code
// Broken symlinks considered by exists() as non-existing, // so we need to check for symlinks explicitly.
// Of course this isn't particularly useful.
// this is for a range check, near as I can tell
// implement is called to force this class to create stubs for all // methods in the given interface, so they'll show up in the list // of methods and be invocable without passing through method_missing
// line 876
// line 800
// TODO: Ruby does not seem to care about invalid numeric mode values // I am not sure if ruby overflows here also...
// try to rename one more time
// normal exit, perform finally and return
"/*      * plain internal array assignment     */"
// line 338
// TODO: not sure that we should skip calling join() altogether. // Thread.join() has some implications for Java Memory Model, etc.
// attribute set.
// class or module
// keep this variant for kind_of? testing
// Define the annotation for the method
/* \OOO */
// condition is always true, just compile it and not body
// This is perhaps innefficient timewise?  Optimal spacewise
// line 488
// Is the parser current within a singleton (value is number of nested singletons)
// line 598
"/*     * This variant of newStruct is called from StructLayoutBuilder     */"
// line 459
// terminate; tryCompile will have printed out an error and we're done
// try the normal property first
// double first because it's what float claims to be
// search through all declared methods to find a closest match
//IRubyObject protocol = args[4];
// Empirical Observations: // null -> Some arity // argsNode == this.argsNode then check for arity changes // newline(splatnode) -> argspushnode
// This point is only reached if there was an exception handler // installed.
// @JRubyMethod(name = "complex?")
// TODO: handle writing into original buffer better
// do nothing, we should not delete the drive letter
// Test that requiring a normal Java class raises an error (JRUBY-3214
// bench Long fib
// leave it null and fall back on our normal invocation logic
// Initialize the "dummy" class used as a marker
// others
// root-level logic
// line 1458
// normalize the value
// If the next scope out has the same binding scope as this scope it means // we are evaling within an eval and in that case we should be sharing the same // binding scope.
// line 1292
// line 1124
// pragmas
// line 1299
// (1|intlen).prec
// three args, no block; load NULL_BLOCK
// for visibility checking without requiring frame self // TODO: don't bother passing when fcall or vcall, and adjust callsite appropriately
//yyRindex 945
/* Only accept an open brace if there is a close */
// For binding purposes on the newly created struct types
// assuming the user wants a collection of interfaces that can be // included together. make it so.
// tail must be EvStrNode at this point
// Where we get our newest char's
// Build IR for args
// line 595
// TODO: check for ascii string
// load arguments
// if we are storing a name as well, index is one too high for values
// TODO should this be deprecated ? (to be efficient, internals should deal with RubyHash directly)
// SSS FIXME: 1. Is the ordering correct? (poll before next)
// If 'r' is not a constant, it could actually be a compound value! // Look in our value map to see if we have a simplified value for the receiver.
// FIXME: This worries me a bit, since it could allocate a lot with a large newLength
// prepend ./ if . is not already there, since we're loading based on CWD
// line 1869
// We can assign if we already have variable of that name here or we are the only // scope in the chain (which Local scopes always are).
"/** * Represents the the dynamic portion of scoping information.  The variableValues are the * values of assigned local or block variables.  The staticScope identifies which sort of * scope this is (block or local). *  * Properties of Dynamic Scopes: * 1. static and dynamic scopes have the same number of names to values * 2. size of variables (and thus names) is determined during parsing.  So those structured do *    not need to change * * FIXME: When creating dynamic scopes we sometimes accidentally pass in extra parents.  This * is harmless (other than wasting memory), but we should not do that.  We can fix this in two * ways: * 1. Fix all callers * 2. Check parent that is passed in and make if new instance is local, then its parent is not local */"
// bench Integer fib
// add reference to interface module
// now used as an interpreter event
// line 558
/*encode.limit() - */
/* substring longer than string */
// snapshot of contents of directory // current position in directory
// SimpleSampler
// Ruby ignores empty syswrites
// 128K seems to be the minimum at which the stat+seek is faster than reallocation
// check if it's an immediate, and don't outline
// FIXME: don't use RubyIO for this
// Additionally add ?-postfixed aliases to any boolean methods and properties.
// PUSH(1)
// lists to aggregate variables and bodies for whens
// Don't initialize with class // Don't put in object space and don't taint
// ...round to that digit
// args
// ClassProviders return Java class/module (in #defineOrGetClassUnder and // #defineOrGetModuleUnder) when class/module is opened using colon syntax.
/* RubyString aka rb_string_value */
// must not reallocate
// opt and rest, must be at least required
// using IOOutputStream may not be the most performance way, but it's easy.
// look for mangling markers for bound, framed methods in class name
// Ensure we're not running on GCJ, since it's not supported and leads to weird errors
// set thread context JRuby classloader here, for Ruby-owned thread
// advance to first entry
// line 1333
// obtain a
// signed short, big-endian
// unwrap scopes to appropriate depth
// rb_class_boot
// append what we read into our buffer and allow the loop to continue
// Java's select doesn't do anything about this, so we leave it be.
// finish class initializer
// static invocation
// set Ruby
// check for frame field reads or writes
// Because we implement Java interfaces now, we need a new === that's // aware of those additional "virtual" supertypes
// Ruby's designation for some platforms, minus version numbers in some cases
/* Array of all operands for this instruction */
// SSS FIXME: Should I be returning the operand constructed here?
// Otherwise the unpack should be here...
/* Note: Only used by compiler until it can use getConstant again or use some other refactoring */
// now some data...
// rb_enc_reg_raise
// FIXME: This is gross. Don't do this.
//[C, C] //[C, C, String] //[C, null|C]
// line 1847
// BigDecimalLibrary
// Strip off the O_ prefix, so they become File::RDONLY, and so on
// void methods should work
// Tries to load at compile-time the constant referred to by 'constRef'. // This might be possible if the constant is defined and is not a forward reference // to a value that will be defined later in the class.
// temp method to verify tableSize value // must be called under lock
// closure instructions
// line 875
// line 1649
// line 1749
// Note: #fix has only no-arg form, but truncate allows optional parameter.
// evaluate and save receiver and args
// We are creating a new IO object that shares the same // IOHandler (and fileno).
// invoke pre method stuff
// these are all simple cases that don't require the heavier defined logic
/* Tempering */
// assert level == 0;
/* may need to handle ENC_CODERANGE_BROKEN */
// line 960
// Java and MRI definitions of remainder are the same.
// MRI behavior: raise ArgumentError for 'unknown command' before // checking number of args.
// Initial precision is that of double numbers 2^63/2 ~ 4E18 // 63-1 an even number of number bits // precision seems 16 to 18 digits
// TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here. Confirm. JRUBY-415
// if more than 4 locals, get and populate the locals array too
// Unlike WeakHashMap, our Entry does not subclass WeakReference, but rather // makes it a final field.  The theory is that doing so should force a happens-before // relationship WRT the WeakReference constructor, guaranteeing that the key will be // visibile to other threads (unless it's been GC'ed).  See JLS 17.5 (final fields) and // 17.4.5 (Happens-before order) to confirm or refute my reasoning here.
// call getpwent to fail early if unsupported
// get "self"
// no script to run, return success below
// Is this thread currently with in a function trace?
// unread back
// promise to implement one to N with block
// superClass may be null.
// actual type does not exactly match method return type, re-get converter // FIXME: when the only autoconversions are primitives, this won't be needed
// line 303
// line 1415
// FIXME: add text mode to mode flags
// INSTANCE VARIABLE
// reduce (yyN)
// If there's a second argument, it's the path to which the first  // argument is relative.
// make sure the pipe stream is set to null
// look for __file__ method name for compiled roots
// TODO: call ruby method
// line 1618
// line 1399
// invoke __file__ with threadcontext, self, args (null), and block (null)
// FIX replace type() == ... with isInstanceOf(...)
// no binding, just eval in "current" frame (caller's frame)
// TODO: 3 times calculate the same value below
// other hash does not contain key
// retry handling in the rescue blocks
// line 1269
// try/finally block to ensure unlock
// If we're running from within an IDE we may not have // the .rb files in our classpath. Try to find them // in the filesystem instead.
// remain where we are
// main body
// Get rest of line. lineBuffer filled as side-effect...
// only a marker interface
// invoke method
// ARRAY and STRUCT are only used internally
// line 1465
// all other arities use "n" dispatch path
// line 871
// Compute meet over all "sources" and compute "destination" basic blocks that should then be processed.  // sources & targets depends on direction of the data flow problem
// caching constructors, as they're accessed for each new instance
// signed char
// root-level classes
// pre-set for the sake of terminating recursive calls
// line 358
// rb_reg_initialize
/* string fragment (we optimistically take one off in*/
// allow MainExitException to propagate out for exec and friends
// promise to implement zero to three with block
/* $~: match-data */
// FIXME: Maybe not best place, but move it to a good home
// Assign the values.
/*args*/
// line 1672
// TODO: These were missing, so we're not handling them elsewhere?
// line 443
//            assert internedName == internedName.intern() : internedName + " is not interned";
// set of utility methods for Java-based proxy objects
"/*     * convert into longs, returning unsigned 64-bit values as signed longs     * ( num2long raises a RangeError on values > Long.MAX_VALUE )     */"
// Build a new class and add it to the current scope (could be a script / module / class)
// Not that is loaded loop around to resolve it next pass
// iterate over remainder of buffer until we find a match
// otherwise fall back on system temp location
// assign the default values, adding to the end of allArgs
// modify the block with a new backref/lastline-grabbing scope
// TODO: set our metaclass to target's class (i.e. scary!)
// Check if the method has been explicitly excluded
// Peel onion...make subpatterns out of outer layer of glob and recall with each subpattern  // Example: foo{a{c},b}bar -> fooa{c}bar, foobbar
// no annotated methods found, skip
// FIXME: set up a CallConfiguration for this
// Can we produce IOError which bypasses a close?
// lock in the overridden methods for the new class, and any as-yet // uninstantiated ancestor class.
// Frame is extraneous runtime information, skip it unless debug
// old (quasi-deprecated) interface class
// +++ // Helper Methods
// // Synchronize and re-check to avoid creating more than one Selector per provider //
// line 457
// TODO: Formalize conversion mechanisms between Java and Ruby
// line 688
// FIXME: If true array is common enough we should pre-allocate and stick somewhere
// expect value to be an array of nodes
// Live reference to module
// line 397
// line 1734
// 3. MRI ignores the trailing junk
// TODO: Only setAccessible to account for pattern found by // accessing constants included from a non-public interface. // (aka java.util.zip.ZipConstants being implemented by many // classes)
// Get index of last read byte
// call is ok, punch it!
/* constant vector a */
// super uses current block if none given
// try both
// make sure the main stream is set to null
// lame generics issues: making Segment class static and manually // inserting cache reference to work around various problems generically // referencing methods/vars across classes.
// line 1290
// if an extension is specified, try more targetted searches
/* $+: string matches last paren. */
// line 2019 "Ruby19Parser.y"
// TODO: 1.9 rb_enc_symname_p
// We need to close the out, since some // processes would just wait for the stream // to be closed before they process its content, // and produce the output. E.g.: "cat".
// line 820
// Math depends on all numeric types
// unsigned short, native
// String/Buffer to read it into
// TODO: cache?
// break out if we've dug as deep as we can
// MRI checks all types first:
// Will parser parse Duby grammar Extensions
// line 515
// FIXME: Added this because marshal_spec seemed to reconstitute objects without calling dataWrapStruct // this resulted in object being null after unmarshalling...
// else catch oversize below
// one optional and no required args
// FIXME: we should also support orgs that use capitalized package // names (including, embarrassingly, the one I work for), but this // should be enabled by a system property, as the expected default // behavior for an upper-case value should be (and is) to treat it // as a class name, and raise an exception if it's not found
// line 737
// Make sure the module we include does not already exist
// r/w buffer // are we reading or writing?
// FIXME: Pass block down?
// promise to implement two to N with block
// TODO: remove
// line 420
// start off with a neutral parent
// one arg with block
// These are not really used by timeout, but exposed for compatibility
// line 530
// line 1239
// If the target thread is sleeping or stopped, wake it
// // We limit reads to BULK_READ_SIZED chunks to avoid NIO allocating // a huge temporary native buffer, when doing reads into a heap buffer // If the dst buffer is direct, then no need to limit. //
// line 521
// line 377
//[?, ?] //[?, boolean]
// HACK: in order to have stdout/err act like ttys and flush always, // we set anything assigned to stdout/stderr to sync
"/*case CONSTNODE:                handleUselessWarn(node, ""a constant""); return;*/"
// eval new value, call operator on old value, and assign
// end loop
// Our values holder (name of variables are kept in staticScope)
// This method is intended only for defining new classes in Ruby code, // so it uses the allocator of the specified superclass or default to // the Object allocator. It should NOT be used to define classes that require a native allocator.
// line 1533
// TODO: catch exception if constant is already set by other // thread
// if we don't have opt args, start after args (they will be assigned later) // this is for crap like def foo(a = (b = true; 1)) which numbers b before a // FIXME: only starting after required args, since opt args may access others // and rest args conflicts with compileRoot using "0" to indicate [] signature.
// line 1111
"/*             * Declare those components as beans in BSF. Then it will be             * possible to access those components in Ruby as global             * variables ($frame, $menubar, ...)             */"
// if arity 1, just compile the one element to save us the array cost
// build first node as non-expr and build second node
// TOPLEVEL self and a few others want a top-level scope.  We create this one right // away and then pass it into top-level parse so it ends up being the top level.
// FIXME: Temporarily disabling because this fires way too much running Rails tests. JRUBY-518
// no matching method found
// for fast lookup: org.joni.encoding.Encoding => org.jruby.RubyEncoding
// line 578
// Initial v - the reciprocal // v0 = 1/(2*x)
// long, slow way causes disabling
/* ----------- Private Interface ------------ */
// line 1135
// MRI does it!
// Skip any assignments if /usr/bin/env is in play
// Handle ~user paths.
// block
// Find out which string to check.
// line 848
// the requested precision
// How many strings are nested in the current string term
// Label for the start of the closure (used to implement redo) // Label for the end of the closure (used to implement retry)
// How many occurrences of 'type' we want
// write out a static initializer for frame names, so it only fires once
// three args with block
//if the index is not a multiple of 8, we are not on a byte boundary //shift the byte
// Note: In Ruby 1.9 all of this logic can go away since they will require explicit // bindings for evals.
// not enough bytes
"/** rb_obj_id     *     * Return the internal id of an object.     *     * FIXME: Should this be renamed to match its ruby name?     */"
// TODO: newTypeError does not offer enough for ruby error string...
// Pickaxe says @@ must be followed by a name character, but MRI // does not require this.
// Equivalent of Data_Get_Struct // This will first check that the object in question is actually a T_DATA equivalent.
// // Remove the Executor task now, to avoid cancelled tasks accumulating // until an Executor thread can schedule and remove them //
// C:\ is returned unchanged
// no more values to stick in rest arg
// decimal
// line 649
//[IRubyObject] //[IRubyObject, IRubyObject] //[IRubyObject, RubyClass] //[IRubyObject, RubyClass, RubyClass] //[IRubyObject, RubyClass, Visibility] //[IRubyObject, RubyClass, Visibility, Visibility]
// generate bytelists initialization code
// string given
// TODO: Bleeding runtime into parser.  Arity may be should be in parser (to keep bleeding oneway)
// line 1532
// create a lightweight thunk
// line 972
// string doesn't have it's own ByteList (values)
// FIXME: I think this chunk is equivalent to MRI id2name (and not our public method  // id2name).  Make into method if used more than once.
// not an expression, don't want result; pop it
// We capture the original "new" and make it private
// line 1420
//                    actualPath = new File(RubyFile.expandUserPath(runtime.getCurrentContext(), reportedPath));
// index of variable that represents a "rest" arg
// Is the parser currently within a method definition
"/*     * If we are setting post arguments we can assume there are no pre or others     */"
// all done with lookup attempts, release monitor
// line 1084
// line 1377
// Unique ID assigned to this variable
// Highest reserved id
// fill up the rest with zeroes
/*arg*/
// Used for tiny smidgen of grammar in lexer (see setParserSupport())
// we only add live threads
/* xxx shouldn't check if valid option variable */
// If no release method is defined, then memory leaks will result.
// ////////////////// CLASS VARIABLE RUBY METHODS //////////////// //
// Rubygems is too specific on host cpu so until we have real need lets default to universal //setConfig(configHash, "arch", System.getProperty("os.arch") + "-java" + System.getProperty("java.specification.version"));
// Build the CFG for this scope -- supported only by methods & closures
// how far ahead we are when reading
// line 794
